Customer ID,Name,Email,Phone Number,City,Age,Gender,Date of Birth,Registration Date
e30a5b91-3040-4f71-9107-6a676b71c52a,Abigail Buckley,robinsonamber@example.net,001-656-309-7892x725,East Sharon,62,Other,1980-03-28,2022-11-08 08:38:59
90c43a02-eab4-442d-8c77-b9c68b13ead1,Blake Mathews,lorismith@example.net,001-434-339-4654,Lorrainechester,40,Female,1963-09-14,2021-03-20 03:10:35
841a7a56-17b6-4e87-b236-17c59544342a,Aaron Perez,ihenson@example.org,001-373-796-8197x099,North Timothyland,31,Female,1964-09-24,2021-09-20 19:01:00
405799cf-6fb1-44d9-bd80-cb2d0bc31608,Charles Robinson,johnstonkimberly@example.org,8876302981,Baldwinmouth,31,Male,1992-06-24,2022-01-02 06:03:38
e09e7565-0252-4288-b254-a0bd9b3b1d7c,Tammy Roberson,jacob02@example.net,252-754-2955,Alexanderport,23,Female,1981-07-12,2020-01-26 00:36:53
cf92c692-d447-4bff-8b87-0b9fc8fc42e4,Kelly Oliver,hernandezwyatt@example.net,+1-511-383-3216,Leehaven,40,Male,2004-05-17,2021-07-31 10:52:43
40e4d79f-c0fd-47e9-b420-1d91201f3de0,Hannah Peterson,fieldsdustin@example.com,536.202.9758x531,East Donald,64,Female,2004-06-12,2021-07-06 16:14:39
807c911b-155c-4aeb-806f-4bb7a8ba804d,Charles King,mark47@example.org,+1-730-522-9264x8633,North Cory,47,Other,1991-09-03,2022-09-29 00:59:22
c67d4b65-0e21-47cf-b954-8ad06fe3a9b4,Brianna Moreno,russell48@example.org,8347862279,New Theresamouth,41,Other,1975-08-05,2022-09-29 18:45:26
db057c0a-5cfb-4555-b99a-6b754d087b24,Julie Frazier,kevinbyrd@example.net,881.244.9054x825,East Abigail,31,Male,1996-10-23,2020-07-03 23:02:04
dc06d28e-ffcc-4896-b061-b2e15ec850e5,Rachel Roach,kingjoanna@example.net,6635531984,East Alisonhaven,20,Male,1970-11-30,2023-07-06 18:57:37
c5bd5a93-7a0d-49da-90c8-4cccda84d15f,Nicholas Horton,johnsoncynthia@example.net,207.482.6269x202,South Justin,51,Female,2003-11-26,2020-01-16 19:52:35
f4b9249c-5034-4902-9386-fa4b03ba3936,Crystal Nguyen,mark95@example.net,8143631906,Delgadoburgh,47,Other,1986-02-03,2022-02-12 03:30:21
7c16247f-c8bd-4542-852b-4da47b2623cc,Jaclyn James,tracy50@example.com,620.892.9494x24398,North Jeremy,50,Male,1980-08-05,2020-10-13 03:40:14
c151416b-3c6b-4ac8-8c1b-380fa6286ca6,Carolyn Lyons,daniel94@example.net,204.851.1537,Adamsside,50,Female,1970-03-25,2021-07-09 07:08:07
f63067cc-49cc-4e1a-9f4b-f55f490ccfbb,Amanda Johnson,carolinephillips@example.org,289-535-3938x6664,West Jeremymouth,34,Female,1969-01-25,2020-04-19 17:03:44
65c17330-cc23-4b2c-a619-89fc847defce,Steven Hale,kelsey31@example.org,467.209.0099,Port Ann,54,Male,1998-11-20,2022-02-11 10:19:10
63a8703c-8218-46a9-8927-c9f771493816,Thomas Carpenter,kennethmiller@example.com,222.218.8198x315,Schmidtville,45,Female,1982-11-19,2020-05-20 23:18:45
5b37a485-ac6d-4e2c-bdad-6e57861383fc,Diana Jackson,yujennifer@example.com,492-566-1896,West Williamberg,33,Male,1989-08-21,2021-03-20 09:35:32
73ef513c-6454-4e4b-8573-05f089d79d3a,Andrea Allen,fitzgeraldjennifer@example.net,(982)206-9037x2768,Julieland,63,Other,1997-01-01,2020-06-28 10:49:20
83a312a7-9834-4abb-8ab0-2df05ac04820,Brittney Guerrero,lmelendez@example.org,001-889-522-7907x8054,West Kimberly,41,Male,1993-12-06,2020-12-04 00:14:17
9f1a5d2e-b744-4a01-905d-2a6fd17f6c7a,Mary Cain,halladam@example.net,+1-795-848-5120x9642,Jacquelineborough,42,Other,1990-05-07,2023-01-14 01:55:46
906f61e9-d085-40f8-9a96-abdf271b6b31,Christina Cameron,chelsey19@example.net,001-765-820-1547,New Stevenborough,29,Other,1999-12-18,2022-10-27 11:37:55
e8331d3c-a68d-49fb-98af-12933c600108,Michael Chavez,hblackwell@example.org,(702)662-6547,Port Heather,28,Male,1988-01-13,2021-05-21 06:20:10
2576723f-f570-4ca4-a0af-4514d5a0aeaf,Christina Lewis,qhardin@example.com,816-995-7480,New Jesseberg,49,Male,1983-08-11,2023-04-08 03:54:07
1228328c-b31d-4079-b872-86d91b118616,Mary Ingram,hhuerta@example.com,(829)613-8057x7121,Nelsonchester,39,Other,1958-01-29,2022-07-12 03:15:28
671116c9-66e2-40a6-9ca0-593b524025ba,Tyler Sweeney,shelleyle@example.net,(844)960-3658x8298,Gonzalesfurt,18,Other,1974-03-24,2022-06-01 08:46:33
279dff20-e252-414d-9a54-e41244433396,Devin Coffey,sampsonpaul@example.net,7972359241,East Kristine,53,Male,1974-10-31,2023-01-24 18:01:23
942b2c0d-47ac-474f-8457-01d0f5a9ca96,Christopher Davidson,csanders@example.org,317.773.2751x8544,Kimberlyborough,54,Female,1975-04-08,2021-08-30 17:13:50
e93860e5-acd3-4fb8-91e0-8fd1de82772c,Jody Ayala,brownchristopher@example.net,+1-644-997-3901x62071,North Valerie,45,Female,1997-07-20,2021-12-13 21:20:01
aff41c31-1f89-4aa4-95a2-eda6155617e7,Justin Holmes,andrew17@example.net,+1-324-639-4639x0521,South Stevenmouth,57,Other,1962-04-14,2023-05-31 22:11:10
57b1d9ee-df8e-4823-b8c1-38d339619a5a,Tracy Humphrey,qmartin@example.org,(844)826-3206x092,Gutierrezshire,32,Female,1967-05-22,2023-06-12 04:39:53
1665f2c3-a895-4b9c-8692-24c1a575f8ed,Summer Mercado,jasonmooney@example.net,9936310353,West Kimberly,45,Female,1979-04-06,2023-03-29 07:37:01
